id,type,created_timestamp,updated_timestamp,sub_type,status,sub_status,product_type,name_on_card,description,delivery_status,country,spending_limit,atm_limit,currency,account_iban,account_display_name,owner_user_id
874325,Credit,2019-08-12T12:30:01.245680,2022-03-05T13:45:23.659340,VISA,ACTIVE,NEW,VISA_CREDIT,B. Johnson,", top 50",AWAITING_PICKUP_BY_CUSTOMER,US,5000.00,1000.00,USD,US98BANK2026854795,B. Johnson,137
785421,Credit,2017-06-15T12:24:55.435671,2021-02-12T08:32:09.754267,VISA,ACTIVE,NONE,VISA_CREDIT,John Abrams,,IN_TRANSIT,US,5000.00,700.00,USD,US85ABRA2025367854,J. Abrams,569
7291832,Credit,2021-07-05T14:51:22.451512,2021-08-30T18:14:23.589345,VISA,INACTIVE,SUSPENDED,VISA_CREDIT,B. Smith,Premier 200,PENDING_DELIVERY,US,50000.00,1000.00,USD,US82CHASE1011234567,B. Smith,137
2,Credit,2016-09-15T20:20:43.169015,2021-02-11T14:03:10.426217,VISA,ACTIVE,INSTANT,VISA_CREDIT,John Smith,", bunq is brilliant",CARD_UPDATE_APPROVED,US,3000.00,700.00,USD,US83BUNK3046215476,J. Smith,102
3,Credit,2016-07-30T15:40:20.118582,2021-02-14T14:03:05.819263,VISA,ACTIVE,VERIFIED,VISA_CREDIT,John Doe,PlatinumCard,CARD_UPDATE_CONFIRMED,US,5000.00,1000.00,USD,US45BOFA3035128747,J. Doe,569
328,Credit,2016-10-17T20:00:45.934512,2021-06-04T11:09:08.234682,VISA,ACTIVE,GREEN,VISA_CREDIT,B. Johnson,", John my mentor",PENDING,US,3000.00,800.00,USD,US78WING3035126987,B. Johnson,137
458209,Credit,2017-10-10T09:07:46.162244,2021-08-26T13:24:16.722118,VISA,ACTIVE,NEW,VISA_CREDIT,John Doe,", Business Expenses",AWAITING_DELIVERY,UK,5000.00,1000.00,GBP,GB92BARC2059447398,J. Doe,282
5202901,Credit,2022-08-05T11:25:22.782324,2022-10-17T14:38:13.450846,VISA,INACTIVE,PENDING,VISA_CREDIT,John Smith,Business Expenditures,PENDING_DELIVERY,FR,3000.00,1500.00,USD,FR86BUNQ2036298471,J. Smith,388
5687623,Debit,2022-05-15T14:25:47.020469,2022-05-15T14:25:47.020469,VISA,ACTIVE,CLEAR,VISA_BUSINESS,Primordial Particles, ,PHYSICAL_DELIVERY,UK,15000.00,700.00,GBP,GB82BARC20138219283738,Primordial Particles LTD,137
4567892,Credit,2023-12-15T15:45:50.853315,2023-12-15T15:45:50.853315,VISA,ACTIVATED,PREMIUM,VISA_CREDIT,Thompson Enterprises,Business Credit Card,PHYSICAL_DELIVERY,US,5000.00,2000.00,USD,US789BUNQ5463218523,Thompson Enterprises,558
7685394,Credit,2022-06-22T11:20:54.235804,2022-10-20T10:12:00.345204,VISA,ACTIVE,NONE,VISA_CREDIT,Organization for All,", ",CARD_ON_THE_WAY,US,20000.00,1000.00,USD,US69DOCI2098595053,New Docker,282
5673451,Debit,2022-11-04T20:19:56.129763,2022-11-07T15:09:02.621392,VISA,INACTIVE,CANCELLED,VISA_BUSINESS,Ed Community for All,", R.Jackson Manager",NOT_DELIVERED,US,1500.00,700.00,USD,US72BUNQ3079485053,Non-Profit Community for All,336
9287561,Credit,2022-11-15T10:22:45.932485,2022-11-30T15:28:19.720948,VISA,IN_PROGRESS,PENDING,VISA_CREDIT,Mr Unity for All,", U4A Operation Manager",ON_ROUTE_TO_CUSTOMER,FR,800.00,800.00,USD,FR40PUR3109843645,Foundation Unity for All,336
