event_id,transaction_description,transaction_type,iban,counterparty_name,counterparty_iban,amount,currency,transaction_subtype,monetary_account_id,updated_timestamp,place_name,place_address,category,geolocation_latitude,geolocation_longitude,geolocation_altitude,geolocation_radius,user_type,merchant_category_code,tags,opening_periods,number_of_recommendation_total,url_google_maps,city,country,event_type,inner_id,owner_user_id,recommendations_category.PENDING,recommendations_category.SKIPPED,recommendations_category.NOT_RECOMMENDED,recommendations_category.RECOMMENDED_UNCATEGORIZED,recommendations_category.RECOMMENDED_FOR_BUSINESS,recommendations_category.RECOMMENDED_FOR_FAMILY,recommendations_category.RECOMMENDED_FOR_DATE,recommendations_category.RECOMMENDED_FOR_MYSELF,recommendations_category.RECOMMENDED_FOR_FRIENDS,categories_friends.PENDING,categories_friends.SKIPPED,categories_friends.NOT_RECOMMENDED,categories_friends.RECOMMENDED_UNCATEGORIZED,categories_friends.RECOMMENDED_FOR_BUSINESS,categories_friends.RECOMMENDED_FOR_FAMILY,categories_friends.RECOMMENDED_FOR_DATE,categories_friends.RECOMMENDED_FOR_MYSELF,categories_friends.RECOMMENDED_FOR_FRIENDS,opening_periods.monday,opening_periods.tuesday,opening_periods.wednesday,opening_periods.thursday,opening_periods.friday,opening_periods.saturday,opening_periods.sunday,opening_periods.open,opening_periods.close,recommendations_category.  PENDING,recommendations_category.  SKIPPED,recommendations_category.  NOT_RECOMMENDED,recommendations_category.  RECOMMENDED_UNCATEGORIZED,recommendations_category.  RECOMMENDED_FOR_BUSINESS,recommendations_category.  RECOMMENDED_FOR_FAMILY,recommendations_category.  RECOMMENDED_FOR_DATE,recommendations_category.  RECOMMENDED_FOR_MYSELF,recommendations_category.  RECOMMENDED_FOR_FRIENDS,categories_friends.  PENDING,categories_friends.  SKIPPED,categories_friends.  NOT_RECOMMENDED,categories_friends.  RECOMMENDED_UNCATEGORIZED,categories_friends.  RECOMMENDED_FOR_BUSINESS,categories_friends.  RECOMMENDED_FOR_FAMILY,categories_friends.  RECOMMENDED_FOR_DATE,categories_friends.  RECOMMENDED_FOR_MYSELF,categories_friends.  RECOMMENDED_FOR_FRIENDS,.transaction_subtype,recommendations_category.   PENDING,recommendations_category.   SKIPPED,recommendations_category.   NOT_RECOMMENDED,recommendations_category.   RECOMMENDED_UNCATEGORIZED,recommendations_category.   RECOMMENDED_FOR_BUSINESS,recommendations_category.   RECOMMENDED_FOR_FAMILY,recommendations_category.   RECOMMENDED_FOR_DATE,recommendations_category.   RECOMMENDED_FOR_MYSELF,recommendations_category.   RECOMMENDED_FOR_FRIENDS,categories_friends.   PENDING,categories_friends.   SKIPPED,categories_friends.   NOT_RECOMMENDED,categories_friends.   RECOMMENDED_UNCATEGORIZED,categories_friends.   RECOMMENDED_FOR_BUSINESS,categories_friends.   RECOMMENDED_FOR_FAMILY,categories_friends.   RECOMMENDED_FOR_DATE,categories_friends.   RECOMMENDED_FOR_MYSELF,categories_friends.   RECOMMENDED_FOR_FRIENDS,opening_periods.weekdays,opening_periods.weekend,recommendations_category.PENDIND,categories_friends.RECOMMDED_FOR_FRIENDS,recommendations_category.SKIIPPED,categories_friends.SKIIPPED,recommendations_category.    PENDING,recommendations_category.    SKIPPED,recommendations_category.    NOT_RECOMMENDED,recommendations_category.    RECOMMENDED_UNCATEGORIZED,recommendations_category.    RECOMMENDED_FOR_BUSINESS,recommendations_category.    RECOMMENDED_FOR_FAMILY,recommendations_category.    RECOMMENDED_FOR_DATE,recommendations_category.    RECOMMENDED_FOR_MYSELF,recommendations_category.    RECOMMENDED_FOR_FRIENDS,categories_friends.    PENDING,categories_friends.    SKIPPED,categories_friends.    NOT_RECOMMENDED,categories_friends.    RECOMMENDED_UNCATEGORIZED,categories_friends.    RECOMMENDED_FOR_BUSINESS,categories_friends.    RECOMMENDED_FOR_FAMILY,categories_friends.    RECOMMENDED_FOR_DATE,categories_friends.    RECOMMENDED_FOR_MYSELF,categories_friends.    RECOMMENDED_FOR_FRIENDS,number_of_recommendations_total,transaction_subnetype,categories_friends.RECOMMENDED_FOR_M YSELF,counterparty_ibank,recommendations_category.RECOMMANDED_UNCATEGORIZED,opening_periods.Monday,opening_periods.Tuesday,opening_periods.Wednesday,opening_periods.Thursday,opening_periods.Friday,opening_periods.Saturday,opening_periods.Sunday,recommendations_category.PENDIN,recommendations_category.     PENDING,recommendations_category.     SKIPPED,recommendations_category.     NOT_RECOMMENDED,recommendations_category.     RECOMMENDED_UNCATEGORIZED,recommendations_category.     RECOMMENDED_FOR_BUSINESS,recommendations_category.     RECOMMENDED_FOR_FAMILY,recommendations_category.     RECOMMENDED_FOR_DATE,recommendations_category.     RECOMMENDED_FOR_MYSELF,recommendations_category.     RECOMMENDED_FOR_FRIENDS,categories_friends.     PENDING,categories_friends.     SKIPPED,categories_friends.     NOT_RECOMMENDED,categories_friends.     RECOMMENDED_UNCATEGORIZED,categories_friends.     RECOMMENDED_FOR_BUSINESS,categories_friends.     RECOMMENDED_FOR_FAMILY,categories_friends.     RECOMMENDED_FOR_DATE,categories_friends.     RECOMMENDED_FOR_MYSELF,categories_friends.     RECOMMENDED_FOR_FRIENDS,categories_friends. RECOMMENDED_FOR_BUSINESS,eventType,counterparty_ibn,country_normalized
9634,Expense from L. Brown (Liam) to M.A.C. Johnson (Mark) for Food Sharing 😋.,PAYMENT,UK98BUNQ3035229483,Mark Anthony Charles Johnson,UK22BUNQ3035223829,11.5,GBP,BILLING,267,2016-11-12T15:45:02.735897,,,FOOD_AND_DRINK,,,,,PERSON,,,,,,,,RequestInquiryBatch,,771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],[],[],[],[],[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8209,Fund transfer from B. Turner (Brian) to J.D. Rockefeller (JohnD) with note 'For the gift 🎁'.,TRANSLINK,GB35BUNQ1010128765,John Davidson Rockefeller,US35BUNQ1010134578,55.5,GBP,TRANSFER PAYMENT,279,2019-06-15T15:45:02.764938,,,GIFTS,,,,,PERSON,,,,,,,,TransferOutTransaction,,207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],[],[],[],[],[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8654,Coffee shop payment,IDEAL,NL23BUNQ3046205786,Sophie Anderson,NL89BUNQ3046205794,5.25,EUR,PAYMENT,187,2018-11-07T10:13:25.485137,Java Jolt,"15 Main Street, Amsterdam",FOOD_AND_DRINK,52.379189,4.899431,0,0,COMPANY,5812,"cafe, coffee_shop",,214.0,https://goo.gl/maps/Ttynf3VsoptsPA4N8,Amsterdam,Netherlands,Payment,7214,282,42.0,33.0,8.0,51.0,20.0,12.0,15.0,9.0,24.0,"[['Patrick Smith', 'PERSON', 2, '98cc48ff3b8f'], ['Emma Watson', 'PERSON', 3, '1b8f56cc98cf']]","[['Julia Roberts', 'PERSON', 2, '3845cf98981b']]","[['Brad Pitt', 'PERSON', 1, '45cf9881b345']]",[],"[['Bruce Wayne', 'PERSON', 5, '8181b345cfb9']]","[['Maria Davis', 'PERSON', 3, '4cf9b34581c8']]","[['George Smith', 'PERSON', 1, 'cf9b348181b4']]",[],"[['Peter Parker', 'PERSON', 3, '9b348181b4cf']]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Netherlands
8765,,IDEAL,GB98BARC2055115187,Jane Smith,GB79BARC2054116168,20.5,GBP,WITHDRAWAL,249,2018-12-14T20:15:45.865379,,,HOUSEHOLD_EXPENSES,,,,,COMPANY,,,,,,,,Payment,8100,282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],[],[],[],[],[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56721,"🍕🎉🎈
Much appreciated",PAYMENT,DE80BUNQ1036278357,+493072618791,DE12BUNQ1036278423,-5.0,EUR,TRANSFER PAYMENT,263,2016-11-12T15:34:12.843621,,,FOOD_AND_DRINK,,,,,COMPANY,,"restaurant, pizza",,,,,,Payment,8614,336,0.0,0.0,0.0,0.0,10.0,0.0,5.0,3.0,6.0,[],[],[],[],"[['Chris', 'PERSON', 8, '5642'], ['Claire', 'PERSON', 2, '6521']]",[],"[['Lucy', 'PERSON', 5, '5435']]","[['Alex', 'PERSON', 3, '5250']]","[['Nick', 'PERSON', 4, '6430'], ['Jenny', 'PERSON', 2, '5243']]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24532,Fund transfer from M. Jackson (Mark) to T. Stevens (Tom) with description For the pizza party.,SWIFT,UK45BUNQ2036225545,Tom Stevens,UK89BUNQ2036225678,15.5,GBP,TRANSFER PAYMENT,254,2019-07-21T11:33:22.145227,,,FOOD_AND_DRINK,,,,,PERSON,,,,,,,,FundTransfer,5278,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],[],[],[],[],[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78993,"Deposit to your bunq account
SOFORT transaction identifier code: a19682sq 2321000567847872",SOFORT,DE44BUNQ3036223474,JOHN DOE,DE22BANA0961724936,20.0,USD,DEPOSIT,354,2017-11-05T18:10:01.042716,,,INCOME,,,,,COMPANY,,,,,,,,Payment,14677,282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],[],[],[],[],[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57389,😎👍😎👍👍😎👍,IDEAL,GB75WISE6051976253,Linda 🌸,BE68539007547034,-45.0,GBP,WITHDRAWAL,354,2021-04-25T10:11:12.315709,Starbucks,"55 Baker St, Marylebone, London W1U 6EW, UK",FOOD_AND_DRINK,51.517109,-0.158495,100,30,PERSON,,"cafe, restaurant",,5.0,"https://www.google.com/maps/place/Starbucks/55+Baker+St,+Marylebone,+London+W1U+6EW,+UK",London,UK,Withdrawal,8525,282,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,[],[],"[['Jane', 'PERSON', 1, '876-654-321']]",[],"[['John', 'PERSON', 1, '123-456-789']]","[['Julia', 'PERSON', 1, '234-567-890'], ['Jake', 'PERSON', 1, '345-678-901']]","[['Jess', 'PERSON', 1, '456-789-012']]",[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United Kingdom
24092,Billing: 274,FIS,US85BNQI3065728962,Fintech Corp.,,-15.0,USD,BILLING,342,2020-02-20T16:45:12.371930,,,SUBSCRIPTIONS,,,,,COMPANY,,,,,,,,Billing,,558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],[],[],[],[],[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38926,"BUNQ: DAS*KRUIDVAT HAARLEM, NL
 in Zijlstraat 34, Haarlem, NL, 2011 TP.",BUNQ,NL44BUNQ2033456789,Kruidvat,,-10.7,EUR,WITHDRAWAL,257,2016-10-15T15:35:25.765432,Kruidvat,"Zijlstraat 34, Haarlem, NL, 2011 TP.",HOUSEHOLD_EXPENSES,52.3779642,4.6265621,0,0,COMPANY,5411,"cosmetics, store, pharmacy",,,,,,BunqAction,,771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],[],[],[],[],[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45029,"This being my first payment, it's only right it goes to you :)",PAYMENT,US123BOA34567890,John Doe,US321CIT09876543,0.05,USD,WITHDRAWAL,689,2021-05-25T12:51:18.934678,Walmart,"702 SW 8th St, Bentonville, AR 72716",SHOPPING,36.3729,-94.2088,420,1000,COMPANY,5411,"grocery,supermarket",,7.0,https://goo.gl/maps/Vnp4SALKtELLnAHZA,Bentonville,USA,Withdrawal,25596,771,0.0,0.0,1.0,3.0,0.0,2.0,0.0,1.0,0.0,[],[],"[['James Doe', 'PERSON', 1, '1567']]","[['Jane Doe', 'PERSON', 1, '8954'], ['Robert Smith', 'PERSON', 1, '1245'], ['Alice Johnson', 'PERSON', 1, '4489']]",[],"[['Michael Johnson', 'PERSON', 1, '9015'], ['Emma Smith', 'PERSON', 1, '7523']]",[],"[['Oliver Brown', 'PERSON', 1, '6781']]",[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA
87234,Refreshing Fitness Session!,WISE,UK63WISE2946228709,Emma Clarkson,UK56WISE2946224517,-20.5,GBP,TRANSFER PAYMENT,327,2021-06-02T14:32:45.325367,,,SPORTS,,,,,PERSON,,,,,,,,Payment,98674,102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],[],[],[],[],[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57329,Money request from B. Smith (Brad) to R.L. Hammond (Richard) with note Dinner.,PAYMENT,GB52BUNQ2067215467,Richard Lawrence Hammond,GB87BUNQ2067215421,12.5,GBP,REQUEST,212,2020-06-15T14:25:47.078945,,,FOOD_AND_DRINK,,,,,PERSON,,,,,,,,RequestInquiryBatch,,388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],[],[],[],[],[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98654,Paying for groceries,IDEAL,DE21BUNQ3067891236,Robert Johnson,DE18BUNQ2067894563,-120.0,EUR,WITHDRAWAL,234,2021-12-30T06:54:12.235476,Fresh Mart,"34, Amal St., Berlin, Germany",GROCERIES,52.52,13.405,34.0,500.0,COMPANY,,"grocery_store, market, food",,34.0,https://goo.gl/maps/xyz,Berlin,Germany,Payment,34987,102,2.0,7.0,4.0,11.0,0.0,8.0,0.0,1.0,1.0,[],"[['Lisa', 'PERSON', 2, '2390']]","[['John', 'PERSON', 1, '4567'], ['Emma', 'PERSON', 2, '8495']]","[['Adam', 'PERSON', 3, '1432'], ['Sophia', 'PERSON', 2, '2938'], ['William', 'PERSON', 4, '8726']]",[],"[['Oliver', 'PERSON', 3, '3594'], ['Harper', 'PERSON', 3, '9012']]",[],"[['Charlotte', 'COMPANY', 1, '5213']]","[['Amelia', 'PERSON', 1, '6243']]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Germany
